,organization_id,id,species,name,age,breed,mixed,color,fixed,house_trained,good_with_children,good_with_dogs,good_with_cats,gender,distance,url,organization_name
230,UT183,73918954,Dog,Edgar Allan Poe,Young,Labrador Retriever,False,,True,True,,True,,Male,28.0054,https://www.petfinder.com/dog/edgar-allan-poe-73918954/ut/salt-lake-city/rescue-rovers-dog-adoptions-ut183/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Rescue Rovers Dog Adoptions
231,UT81,73918619,Cat,Millie,Adult,Domestic Short Hair,False,Brown / Chocolate,True,False,,,,Female,35.8073,https://www.petfinder.com/cat/millie-73918619/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
232,UT81,73918623,Cat,Sycorax,Young,Domestic Short Hair,False,Torbie,True,False,,,,Female,35.8073,https://www.petfinder.com/cat/sycorax-73918623/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
233,UT81,73918620,Cat,Getty,Adult,Domestic Short Hair,False,Gray / Blue / Silver,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/getty-73918620/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
234,UT81,73918624,Cat,Yucca,Adult,Domestic Short Hair,False,Orange / Red,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/yucca-73918624/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
235,UT81,73918622,Cat,Honest Abe,Senior,Domestic Short Hair,False,Brown / Chocolate,True,False,,,,Male,35.8073,https://www.petfinder.com/cat/honest-abe-73918622/ut/salt-lake-city/best-friends-animal-society-utah-ut81/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Best Friends Animal Society-Utah
236,UT194,73917737,Cat,Star,Baby,Domestic Medium Hair,True,,True,False,,,,Male,68.9684,https://www.petfinder.com/cat/star-73917737/ut/ogden/humane-society-of-northern-utah-ut194/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Humane Society of Northern Utah
237,CA1540,73917512,Dog,Roxanne-Urgent,Young,Boxer,False,,True,False,,,,Female,37.7702,https://www.petfinder.com/dog/roxanne-urgent-73917512/ut/oakley/jason-heigl-foundation-ca1540/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Jason Heigl Foundation
238,OK504,73916553,Dog,Fate,Young,Husky,True,Red / Chestnut / Orange,True,False,True,True,True,Female,67.7289,https://www.petfinder.com/dog/fate-73916553/ut/ogden/desiderata-rescue-ok504/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Desiderata Rescue
239,OK504,73916417,Dog,Moses,Young,Pit Bull Terrier,True,Black,True,False,True,True,True,Male,67.7289,https://www.petfinder.com/dog/moses-73916417/ut/ogden/desiderata-rescue-ok504/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Desiderata Rescue
240,OK504,73916339,Dog,Fate,Young,Husky,True,Red / Chestnut / Orange,True,False,True,True,True,Female,80.3154,https://www.petfinder.com/dog/fate-73916339/wy/evanston/desiderata-rescue-ok504/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Desiderata Rescue
241,OK504,73916291,Dog,Moses,Young,Pit Bull Terrier,True,Black,True,False,True,True,True,Male,80.3154,https://www.petfinder.com/dog/moses-73916291/wy/evanston/desiderata-rescue-ok504/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Desiderata Rescue
242,OK504,73916222,Dog,Moonlight,Young,Mountain Cur,True,Black,True,False,True,True,True,Female,67.7289,https://www.petfinder.com/dog/moonlight-73916222/ut/ogden/desiderata-rescue-ok504/?referrer_id=70322b69-7ed2-4dc7-84cd-537c4fbb9907&utm_source=api&utm_medium=partnership&utm_content=70322b69-7ed2-4dc7-84cd-537c4fbb9907,Desiderata Rescue
